L,R,F,M,C
2942,31,43,79426,1.3955870869999998
1697,61,87,115134,0.962306964
1409,1,114,124499,0.889901525
1501,20,54,75651,1.462917873
1573,20,68,163454,0.676618926
2376,6,112,134757,0.82046172
1996,13,73,163958,0.6731207379999999
2484,38,49,80641,1.3682818909999999
586,2,40,127004,0.868515165
3302,5,82,135413,0.81353969
1899,1,154,129582,0.8481413309999999
3056,13,58,145294,0.7557019559999999
2057,2,52,97731,1.120337764
1237,8,43,78765,1.388142957
1876,4,105,138593,0.7888733920000001
3002,4,97,116461,0.93836632
1391,112,17,121870,0.896000164
1494,59,32,77106,1.416159832
1400,5,37,119320,0.9142707840000001
2922,5,86,159612,0.682643911
744,13,62,139995,0.778110575
1201,11,67,127081,0.856602875
2832,8,84,129836,0.837625235
1901,8,117,132853,0.8163014759999999
1755,2,122,129272,0.837572715
2888,24,87,131029,0.82610529
1896,2,73,75413,1.4347562090000001
3125,8,97,113939,0.949395993
1497,5,93,150612,0.7180637
1497,8,83,134621,0.8017396990000001
1293,11,105,145865,0.7375951740000001
2285,56,27,164336,0.654476682
3022,31,24,110964,0.968107765
2916,2,137,122439,0.874927107
575,22,57,90144,1.187537496
1577,7,50,89115,1.201031476
1039,8,45,139898,0.765013009
896,1,109,122024,0.877036239
1567,18,46,80830,1.32374168
2078,17,77,139876,0.763144213
2738,5,60,154736,0.689844509
657,6,66,151383,0.705022823
2554,4,77,144030,0.74088551
2949,16,77,80208,1.3258335829999999
1257,13,28,77108,1.3789923219999998
1058,113,34,143761,0.739229694
2485,9,62,141413,0.751386294
1431,34,53,73717,1.440717609
925,4,37,72741,1.4590118369999998
2606,65,94,126174,0.839762709
2475,10,48,74411,1.4236073969999998
1342,5,52,73647,1.4306748409999999
1055,1,52,135689,0.776371777
3071,33,59,127314,0.827179729
2225,9,72,149171,0.705943112
2142,13,47,76753,1.37078264
3415,9,107,169750,0.619739087
994,23,96,136246,0.7718554670000001
712,5,132,151273,0.694012613
1167,2,168,130985,0.8006591590000001
847,17,49,125237,0.837061811
3406,136,12,103960,1.00799115
2672,13,36,109695,0.9543194309999999
2899,77,21,137610,0.7606666670000001
1899,24,60,137654,0.760252081
3412,33,84,117382,0.8915401
2919,7,59,97219,1.075326325
2906,1,118,139566,0.746258043
2049,27,49,78417,1.327684941
580,4,74,113789,0.91433425
842,7,64,139827,0.7440065220000001
2427,19,47,71121,1.461826465
2700,1,46,71012,1.462023883
2498,7,115,115562,0.8967864
1276,13,28,72232,1.4345135119999999
1375,351,12,100421,1.029644795
2808,8,65,93221,1.1075239479999999
1570,66,24,183418,0.562442563
2061,4,50,135574,0.7601155829999999
2532,5,98,141053,0.728867305
3130,1,46,73338,1.3989986090000002
1748,17,61,114031,0.899280547
872,84,28,82659,1.238878525
805,68,28,73852,1.3861765419999998
535,15,17,104641,0.978310605
2874,1,51,72274,1.416135816
2227,16,85,104969,0.974864579
2987,2,128,147767,0.69244581
569,14,23,157186,0.6506196479999999
2237,2,78,121231,0.84343724
1911,1,67,135439,0.754458243
3154,1,96,131739,0.775295546
1093,20,118,143796,0.7100688479999999
624,48,86,128754,0.792415925
775,5,36,124032,0.82250645
1734,83,10,99312,1.025894957
2751,1,34,70486,1.4433162609999999
2810,2,23,74910,1.357742091
2615,5,76,138952,0.7315326879999999
1556,19,45,145724,0.696498655
3150,18,111,145458,0.697522309
2908,25,47,82382,1.230913428
2982,1,84,75766,1.337146213
3291,1,134,116627,0.8674246959999999
2926,3,46,130782,0.7711733270000001
3437,6,96,135009,0.746628299
1183,94,16,107690,0.936013465
3204,11,83,133367,0.7554607959999999
3131,3,93,109943,0.91579564
1004,6,13,159016,0.632307692
534,2,36,113253,0.886428351
2894,11,73,123568,0.810458452
807,1,98,76759,1.3033094490000001
2887,3,116,140571,0.7104835279999999
3261,17,61,81113,1.230116011
1351,13,85,70965,1.401901923
2511,10,48,68459,1.453157218
2357,6,104,137698,0.7217528940000001
2873,12,57,84129,1.179321043
2909,9,43,130985,0.757415506
1130,12,101,117880,0.841051069
2344,2,69,141164,0.7021256840000001
2343,5,71,70069,1.413737887
1910,5,124,118049,0.837548052
2327,18,86,89195,1.10819519
2474,12,82,120536,0.8186665390000001
1120,1,122,137879,0.7144708040000001
667,20,18,136876,0.718332944
3338,22,39,70792,1.3874498530000001
1369,4,83,112709,0.870657357
2490,1,81,99888,0.982403492
2015,34,66,111545,0.8786453000000002
3302,41,46,71622,1.365195471
2404,3,75,131146,0.745084105
3349,79,69,126180,0.7741921070000001
1670,10,45,68136,1.432941764
2463,4,36,66829,1.4604936480000001
3406,1,106,130691,0.7464892759999999
1386,19,64,66612,1.464381643
942,6,61,132797,0.7340983609999999
582,1,67,123556,0.788739195
2903,30,52,125190,0.778333174
1106,13,21,138363,0.704172358
925,9,100,116315,0.8364075999999999
2201,1,119,100147,0.9713272490000001
3320,20,79,74503,1.305487564
1677,4,101,118160,0.822947613
3125,5,116,129478,0.750052132
1087,85,42,74368,1.3036952720000001
3278,3,82,126149,0.7679306220000001
3097,11,96,134194,0.72174598
2041,11,79,124218,0.779597965
2936,4,133,143216,0.675632052
1863,15,73,134897,0.7170868140000001
2925,1,58,122349,0.7904340040000001
2015,135,19,130168,0.7423071720000001
435,1,62,76356,1.265360941
2326,5,46,67761,1.425841856
1033,16,38,66550,1.450518407
1349,23,65,112320,0.858959758
479,13,15,99645,0.9681668920000001
1404,2,93,127824,0.754275019
1988,6,13,147883,0.6511630820000001
2310,4,60,118514,0.811934708
1283,2,93,117159,0.82114127
857,15,83,134851,0.712543548
646,16,44,108388,0.8862730190000001
3126,8,62,112125,0.855358305
1237,2,89,78410,1.221743017
3318,2,78,121245,0.789605839
2540,26,39,70142,1.3639718
1660,14,101,102834,0.9299381529999999
1549,17,44,65769,1.452790676
1678,32,31,69453,1.375394871
1720,7,75,122158,0.781846052
2484,18,93,106705,0.894763601
1460,20,54,71496,1.33526505
3114,18,73,76834,1.2420329540000001
3281,2,70,98334,0.969874916
2209,14,36,102876,0.9265317470000001
2272,5,45,67936,1.4012784090000001
1992,14,97,66431,1.4327861990000001
1623,10,107,132823,0.715139321
2219,8,123,111589,0.8507229209999999
968,29,38,67361,1.408719882
2538,13,98,129338,0.7335678609999999
2428,7,33,65345,1.4518301319999998
1969,6,39,68043,1.393603751
1288,8,72,73670,1.286411022
1264,6,83,126476,0.7490311209999999
3313,4,66,121756,0.7776507109999999
2195,37,46,120983,0.78231049
3426,9,65,102504,0.9232600679999999
2517,5,99,123899,0.763360156
1849,4,54,64453,1.463962112
2576,16,65,107397,0.8783021870000001
2868,243,27,100143,0.941445133
1884,21,36,72186,1.302530408
955,20,61,71752,1.3061068679999999
2698,32,49,65717,1.425973949
2114,3,46,71260,1.3145343809999999
2221,6,103,125149,0.7469010540000001
2479,73,52,76072,1.228696235
562,9,36,68799,1.35804096
1715,12,37,66530,1.4023350369999998
3071,14,100,64900,1.4373
2387,7,51,87589,1.06409081
2653,12,69,125139,0.742781227
643,8,82,109233,0.8508076309999999
527,17,13,95577,0.9717373429999999
1130,25,65,74458,1.246913025
712,5,45,74389,1.247410235
2590,2,118,137477,0.67473221
2154,11,75,127816,0.7257207240000001
1046,1,56,117444,0.789488352
2576,6,73,128233,0.720501275
1261,17,66,82682,1.1168940040000002
1003,6,21,139888,0.660121097
2079,4,78,114244,0.8077245190000001
2129,2,90,122350,0.753979567
3434,8,80,120362,0.766244247
768,85,20,121103,0.761441087
3373,31,80,117968,0.781219907
3359,34,95,104659,0.87833354
2714,2,99,117708,0.7805520440000001
2574,17,90,128188,0.716619964
2465,1,33,63453,1.447113927
3225,12,73,110537,0.8304361440000001
2869,18,127,124500,0.7372848190000001
1002,158,83,114627,0.8003160690000001
827,8,27,90731,1.010241814
1467,1,97,149015,0.614937825
2860,7,77,104572,0.875997495
1562,65,19,86805,1.053728357
2633,41,13,125853,0.72670131
3301,1,139,129859,0.703798197
3188,6,86,113677,0.803908618
3234,2,82,123788,0.7376269109999999
2856,31,41,91797,0.9943289000000001
1601,2,72,120888,0.7550119120000001
3299,11,82,116502,0.782969391
737,4,83,66764,1.36549308
3021,14,92,103985,0.8751388179999999
2849,25,49,98732,0.9204995340000001
3427,10,74,126274,0.719323851
1386,4,78,106195,0.854748717
2380,9,49,105720,0.858548997
1665,29,44,69154,1.311839518
2587,13,26,103395,0.8757814209999999
3427,2,85,124022,0.729566125
1238,5,49,62116,1.454720362
3137,5,69,105755,0.854199991
505,8,53,114734,0.7872666340000001
1999,67,11,134552,0.6709090910000001
2923,10,55,117957,0.76517731
3386,14,39,63230,1.4274219519999998
1971,34,18,124386,0.725114241
1808,22,63,137264,0.656078433
1549,181,23,169931,0.529890073
995,13,55,103869,0.8668173370000001
729,24,36,112436,0.7999573090000001
2930,8,43,69158,1.299686515
1491,2,59,78595,1.142706025
729,4,69,98267,0.913754872
930,27,77,149556,0.600361671
2018,21,75,113205,0.793122565
3111,14,89,98446,0.911670561
1068,1,51,71594,1.251371344
2465,65,15,84976,1.0531992559999999
2883,10,51,121900,0.7337164890000001
3228,13,63,84110,1.062971704
3177,3,67,114895,0.77813186
3214,58,35,102698,0.869739722
1704,3,31,112940,0.789749247
851,4,63,131617,0.677294726
2519,1,95,112565,0.7918911740000001
3025,13,97,111809,0.7958487240000001
2623,9,67,124788,0.712584784
3018,2,101,119673,0.742826118
1485,21,60,131743,0.6731966779999999
1176,38,12,121632,0.7283333329999999
1320,3,48,63061,1.4044699580000002
1076,3,52,62006,1.427972616
1668,9,11,80261,1.09967805
2947,2,92,108930,0.8101632240000001
2925,1,67,116848,0.754195707
2685,6,47,68720,1.280616269
2800,46,109,144111,0.61047623
2907,12,82,135759,0.6466828720000001
2856,21,68,107075,0.819026757
770,16,79,113061,0.775295725
702,11,74,119277,0.734588563
2866,113,31,59830,1.463755474
674,8,34,87326,1.0018575220000001
2632,3,74,126760,0.690051909
612,7,7,85624,1.021428571
1840,93,36,118329,0.739067177
628,9,43,71368,1.224596738
1551,36,106,128750,0.678582369
2036,3,89,106167,0.82264602
1465,104,62,89752,0.9725639540000001
1619,11,36,63184,1.380619144
703,12,51,118422,0.73627451
2968,5,69,119146,0.731558088
3366,1,84,90564,0.962312287
3030,5,68,109665,0.794431222
2555,3,20,113068,0.7694140690000001
1173,89,27,106399,0.8167115290000001
2344,2,64,114718,0.757229554
3271,7,113,147384,0.589203374
2355,2,40,60149,1.4430294769999998
2993,2,80,138420,0.624723523
2063,41,53,113194,0.76250826
1672,1,109,123276,0.700098478
1352,4,70,112890,0.764457525
1594,9,35,62808,1.37325484
839,29,34,65969,1.307116221
1902,27,88,110192,0.782405619
1622,10,101,104916,0.821220119
2615,15,44,123585,0.697107982
2495,1,57,124821,0.6901963609999999
1321,11,43,70258,1.2256450509999999
1219,4,57,101773,0.846069291
2349,11,82,121881,0.705870234
1655,23,69,94964,0.9038699929999999
1500,44,63,102801,0.833366699
706,230,12,84488,1.013213001
1261,17,69,99590,0.8593490309999999
2449,4,88,92775,0.922312153
758,3,59,133334,0.6414616679999999
2911,10,40,133403,0.640861525
1926,86,13,113580,0.752468392
3252,11,68,119701,0.7120725809999999
1218,3,69,119959,0.7104411509999999
680,4,38,63749,1.335886053
2944,18,97,95578,0.8904420470000001
3287,34,13,96745,0.8791565459999999
1204,3,84,124877,0.680674344
2197,79,33,60566,1.400179804
2380,25,61,129994,0.652295875
2479,17,87,114443,0.740124516
1995,13,17,105518,0.80243475
2997,3,62,104351,0.810345085
2337,2,79,102926,0.8209831340000001
2191,85,58,94188,0.896582367
2303,48,26,126699,0.666378424
952,2,82,120396,0.7009850000000001
2723,7,94,110837,0.761320588
688,15,43,88958,0.9478419029999999
3258,9,49,82626,1.019422095
2423,11,32,87009,0.967861715
1095,4,82,119037,0.706153885
1333,22,62,101808,0.824876139
689,18,67,95683,0.877645872
1721,30,81,103927,0.807743897
3189,7,86,105952,0.7913474970000001
2555,102,6,73392,1.141666667
1272,69,9,91224,0.9177777779999999
1663,4,63,102466,0.81701218
3421,66,38,124410,0.672776465
1369,2,40,63801,1.311356405
3084,9,73,120191,0.695825062
2595,15,71,107032,0.78021629
1626,1,74,86299,0.967311788
710,103,45,83894,0.995006913
2134,1,127,131400,0.635267428
2348,4,86,130146,0.641211101
1673,29,58,114424,0.728744669
1048,3,69,101139,0.82410712
2833,43,38,78846,1.056982345
2032,19,78,115093,0.723989122
3013,68,16,96627,0.862176721
2556,163,37,58302,1.428155295
2457,5,76,116724,0.7130119770000001
1904,2,44,67601,1.230681203
3307,3,99,87395,0.9514648440000001
808,14,51,61100,1.3578358430000002
2029,5,66,114482,0.722954875
2820,5,77,94084,0.879383317
2468,2,106,104750,0.78942673
681,1,94,130742,0.632198528
1039,27,89,109773,0.7526219559999999
675,37,11,101908,0.8100533809999999
2271,17,19,114608,0.7193145329999999
1074,7,57,87522,0.941829369
1091,18,65,110131,0.747842479
668,76,25,58213,1.413954787
3074,26,51,57992,1.418412885
760,19,54,77707,1.057823619
2020,46,13,118818,0.691331701
739,7,72,65267,1.25802427
2017,2,93,118300,0.693748774
1412,27,31,60318,1.35912265
2672,4,78,99566,0.8228736720000001
2141,4,96,123933,0.661020551
2049,20,58,99952,0.81945874
663,8,85,115207,0.710912445
2862,5,65,92722,0.883145532
3345,4,85,124859,0.65577155
1189,88,14,79047,1.035521272
935,2,60,118246,0.6915089729999999
2701,8,39,60512,1.3509103980000001
1091,61,36,75213,1.086663476
3277,46,17,109583,0.745799622
1612,21,104,93309,0.875784758
2903,15,50,125199,0.6526988229999999
2199,12,41,108363,0.7536585370000001
591,195,20,77590,1.052316793
2395,7,68,86064,0.9486224209999999
2556,2,99,105598,0.77280422
1220,12,98,120774,0.6753600940000001
3407,8,89,106510,0.764573373
2033,71,35,105725,0.7683779620000001
2639,6,78,105745,0.767752423
1477,4,75,119758,0.677779021
2902,15,56,57828,1.402678633
818,2,29,81848,0.99101884
849,45,55,100558,0.8062292409999999
2693,18,26,70104,1.156431302
2520,5,66,94599,0.856638865
2926,5,67,112610,0.7188581829999999
1347,17,65,99061,0.81700528
1343,9,76,82442,0.9812910890000001
2509,4,38,58995,1.370945673
1112,17,51,113913,0.7100000879999999
2878,3,71,109398,0.738039452
583,9,67,64594,1.248345512
3418,25,61,108008,0.746502852
2088,3,44,56219,1.4340239069999998
1653,1,120,101087,0.797076083
1269,1,101,94342,0.853658074
1346,8,34,58541,1.375456688
2750,9,70,116485,0.689642615
1780,28,34,90814,0.883529412
675,35,31,100130,0.8012903229999999
780,62,44,102276,0.7843010090000001
1393,27,43,60630,1.322550717
1540,34,62,104969,0.762393469
2164,26,35,57698,1.386811155
2296,4,51,92818,0.8615744790000001
741,3,59,118571,0.6739168940000001
916,6,54,64470,1.2387031179999999
808,23,55,84601,0.9425804659999999
845,69,34,84892,0.938940654
1867,2,58,107038,0.7446574109999999
2691,3,83,95665,0.8329750690000001
3008,3,39,64329,1.238633431
3267,18,65,102141,0.7799595659999999
2023,10,44,83527,0.953680726
2702,1,64,124573,0.639421062
762,67,50,64381,1.2370464890000001
1046,83,27,55673,1.42926697
3345,9,40,77198,1.030612192
3169,2,72,107745,0.7381336490000001
2478,41,47,57158,1.391171839
3036,1,70,112030,0.709738017
1156,113,51,107440,0.739495067
2867,1,52,98327,0.8075949640000001
643,2,57,99434,0.798412817
3130,2,56,87321,0.908338086
1569,13,32,60308,1.3146624
2982,1,65,94255,0.8411298070000001
1605,30,16,127164,0.623378315
1405,8,81,110402,0.7176489559999999
2199,101,44,104867,0.7555097409999999
1161,11,96,107452,0.7372859509999999
428,75,37,77098,1.025352668
1126,10,63,108377,0.729203429
1590,21,81,116556,0.677642764
1561,13,82,127934,0.617297044
2572,2,38,62200,1.269493087
2969,38,25,63767,1.238245644
1823,70,50,58964,1.338983448
1827,6,66,95599,0.825197125
2068,2,75,96092,0.820139033
1095,12,70,119084,0.661306893
2209,3,93,67658,1.1630145729999999
2451,2,97,98027,0.8019518090000001
1277,20,72,100623,0.780282142
1477,5,65,105089,0.746562628
3114,60,45,57094,1.3739172240000002
2133,10,27,53927,1.4536389930000002
1856,2,81,99333,0.789152044
1138,8,74,123708,0.633542051
3125,2,81,96407,0.8128448140000001
654,63,43,87048,0.9000129809999999
1301,62,13,74307,1.054007025
1543,2,68,87657,0.8934457029999999
1006,3,51,105499,0.742125613
1705,36,65,94928,0.8242233059999999
2484,12,61,95828,0.816480465
3133,3,34,54155,1.4419512509999999
3122,1,106,73656,1.059797165
1560,10,68,117406,0.664639116
1124,5,69,59262,1.315850461
724,9,31,54938,1.418710546
1469,4,85,123956,0.6286328210000001
3428,9,85,115698,0.6731533820000001
643,21,44,122665,0.6342576120000001
3306,2,82,84793,0.917503332
683,20,78,92800,0.837629526
1400,288,35,98033,0.7928544470000001
1230,23,64,113219,0.6863847059999999
1441,3,49,106738,0.727940377
793,143,9,110088,0.705555556
2911,105,44,128750,0.603258718
2358,3,86,119842,0.647968909
2880,7,45,101385,0.765687133
2869,30,78,113329,0.6849814259999999
1061,14,59,108263,0.71581593
2410,1,98,99128,0.7815750340000001
831,12,87,104670,0.739837298
2812,39,25,118355,0.654261755
1164,23,48,88016,0.879216392
890,13,53,59280,1.304834683
3413,10,31,82721,0.934580215
2656,12,61,102513,0.7541312809999999
1424,2,54,87327,0.885256908
2399,2,68,83233,0.928783415
1470,5,80,110571,0.6987418040000001
2487,2,70,91869,0.8396392690000001
1325,2,61,71334,1.0811090079999999
3049,9,59,96238,0.8011154640000001
774,3,71,108053,0.713502263
544,67,9,75093,1.026311241
1455,33,43,63261,1.218127915
2600,12,65,81718,0.942705034
2966,1,118,113715,0.677334828
1319,27,31,57054,1.348767483
1149,34,13,123460,0.623107079
2786,11,105,100538,0.7646203429999999
2811,108,54,97929,0.7849829979999999
1697,4,39,53274,1.441390547
2019,2,67,83561,0.9188581990000001
2920,24,43,93927,0.81727746
2270,3,78,91540,0.8383759009999999
3229,1,77,119849,0.640188153
1574,2,33,60387,1.270434862
2580,25,67,107438,0.71315326
1978,1,34,52371,1.462471215
1520,82,40,104027,0.7356240209999999
1492,34,47,57546,1.329559135
2805,14,49,98276,0.778446009
3125,3,39,106909,0.71552526
1513,8,47,102319,0.747021277
1983,4,72,97247,0.785089206
2185,113,30,55190,1.382804856
1261,123,21,54220,1.4073332719999998
2168,1,62,88473,0.862353147
1228,3,31,95165,0.801548679
1100,5,85,115578,0.6599335510000001
1406,376,18,70739,1.077664372
2925,22,41,56029,1.3586755069999998
1461,71,12,112511,0.6764841659999999
2364,10,88,99522,0.7644740859999999
1599,4,43,103564,0.734484473
1165,2,53,84028,0.904737825
972,20,56,65103,1.167142221
