,MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight,Category
2454,35961,2008/3/4,2008/3/4,男,4,乌鲁木齐,新疆,CN,55.0,2014/3/31,17,40326,0,0,24320.0,15518.0,50436,48173.96,2014/2/28,2.125,5040.75,33,33,41.5625,156,0,2464,1,0.9551502890000001,9,8,24314,16012,0,2464,2464,2464,42790,18476,0.470588235,0.529411765,0.60292112,0.39705408299999995,2,2
2476,850,2006/9/21,2006/10/16,女,4,广州,广东,CN,31.0,2014/3/31,9,51385,0,0,13648.0,7600.0,57245,47898.5,2013/8/1,1.125,6423.125,90,244,49.625,108,0,0,0,0.8367280990000001,7,2,28121,23264,0,0,0,0,51385,23264,0.222222222,0.7777777779999999,0.547250224,0.452730316,0,2
2483,39417,2008/7/29,2008/7/29,男,4,广州,广东,CN,43.0,2014/3/31,7,45323,0,1744,8300.0,10535.0,68035,47811.66,2014/2/26,0.875,5665.375,165,35,88.5,207,26048,9991,1,0.702750937,3,4,17007,28316,1744,36039,37783,11735,83106,40051,0.571428571,0.428571429,0.375231665,0.624746271,11,2
2494,29155,2005/4/15,2005/4/26,男,4,广州,广东,CN,53.0,2014/3/31,5,37220,0,0,6720.0,9800.0,61160,47704.8,2013/9/30,0.625,4652.5,22,184,131.25,325,0,0,1,0.78,2,3,16284,20936,0,0,0,0,37220,20936,0.6,0.4,0.43749496299999996,0.562478171,1,2
2514,2299,2005/8/26,2005/10/28,男,5,北京,北京,CN,56.0,2014/3/31,23,45035,0,590,16625.0,23454.0,47771,47563.3,2014/3/22,2.875,5629.375,21,10,31.81818182,85,0,0,0,0.9956521740000001,11,12,17698,27337,590,0,590,590,45625,27927,0.52173913,0.47826087,0.39297450899999997,0.607003286,0,2
2558,9806,2006/9/16,2006/10/28,女,4,广州,广东,CN,30.0,2014/3/31,13,52199,0,0,16238.0,11454.0,50904,47196.3,2014/2/17,1.625,6524.875,141,44,45.5,263,0,0,3,0.927162895,7,6,32478,19721,0,0,0,0,52199,19721,0.46153846200000004,0.538461538,0.622183908,0.377796935,3,2
2601,55288,2007/6/15,2008/6/16,女,4,ROWLAND HTS,CA,US,54.0,2014/3/31,8,42904,0,0,5200.0,11400.0,76142,46878.04,2013/10/6,1.0,5363.0,75,178,68.28571429,234,0,0,0,0.615665992,4,4,10336,32568,0,0,0,0,42904,32568,0.5,0.5,0.24090432399999998,0.7590723690000001,0,2
2632,19094,2006/11/15,2010/10/21,女,4,顺德,广东,CN,48.0,2014/3/31,22,47290,0,0,9862.0,20197.0,49636,46637.63,2014/3/17,2.75,5911.25,26,15,32.85714286,151,0,2000,0,0.939592836,8,14,12100,35190,0,2000,2000,2000,49290,37190,0.636363636,0.363636364,0.25586263800000003,0.7441162170000001,1,2
2647,19274,2007/3/13,2011/1/2,女,4,ELMONTE,CA,US,48.0,2014/3/31,10,31250,0,0,0.0,21988.0,64800,46498.88,2014/2/29  0:00:00,1.25,3906.25,368,32,36.77777778,127,0,0,0,0.7175753090000001,0,10,0,31250,0,0,0,0,31250,31250,1.0,0.0,0.0,0.9999680009999999,0,2
2699,35909,2006/6/23,2006/7/3,男,4,乌鲁木齐市,新疆,CN,43.0,2014/3/31,18,38726,0,0,15716.0,17136.0,57287,46071.5,2014/1/27,2.25,4840.75,16,65,38.23529412,202,80000,2099,2,0.804222598,10,8,16992,21734,0,82099,82099,2099,120825,23833,0.444444444,0.5555555560000001,0.438763653,0.561210525,6,2
2749,58156,2009/4/27,2009/9/30,男,4,广州,广东,CN,46.0,2014/3/31,17,48117,0,0,21629.0,22050.0,54910,45607.6,2013/11/12,2.125,6014.625,39,141,34.4375,108,0,2933,0,0.830588235,8,9,23472,24645,0,2933,2933,2933,51050,27578,0.529411765,0.470588235,0.487800823,0.512178395,2,2
2765,1272,2008/4/12,2008/4/12,男,4,Lake Forest,CA,US,50.0,2014/3/31,8,42264,0,0,9980.0,10886.0,54488,45464.12,2013/9/22,1.0,5283.0,160,192,54.14285714,303,0,0,0,0.834387755,4,4,20761,21503,0,0,0,0,42264,21503,0.5,0.5,0.491210221,0.508766119,0,2
2781,30136,2008/3/24,2008/3/24,男,4,中山,广东,CN,51.0,2014/3/31,6,23754,0,0,15950.0,0.0,62550,45341.8,2013/2/13,0.75,2969.25,20,413,59.6,162,0,0,0,0.724888889,6,0,23754,0,0,0,0,0,23754,0,0.0,1.0,0.9999579040000001,0.0,0,2
2794,38205,2005/7/1,2005/12/16,男,4,深圳,广东,CN,55.0,2014/3/31,23,41929,0,0,28428.0,11108.0,50598,45271.36,2014/2/12,2.875,5241.125,7,49,30.68181818,110,0,0,3,0.894726274,17,6,30475,11454,0,0,0,0,41929,11454,0.260869565,0.739130435,0.726806582,0.27316956800000003,3,2
2799,30034,2008/2/22,2008/7/7,男,4,番禺,广东,CN,53.0,2014/3/31,5,23260,0,0,3200.0,11800.0,61160,45258.4,2014/3/30,0.625,2907.5,337,2,98.0,143,0,0,0,0.74,1,4,4652,18608,0,0,0,0,23260,18608,0.8,0.2,0.19999140199999998,0.7999656079999999,0,2
2875,58106,2009/3/23,2009/10/3,男,4,广州,广东,CN,61.0,2014/3/31,5,44200,0,0,11320.0,4400.0,61160,44769.12,2014/2/15,0.625,5525.0,28,46,164.25,345,0,0,0,0.732,3,2,34896,9304,0,0,0,0,44200,9304,0.4,0.6,0.789484401,0.210492975,0,2
2925,2832,2008/6/3,2008/6/3,男,4,新会,广东,CN,79.0,2014/3/31,4,50017,0,0,4250.0,13950.0,48928,44402.16,2013/7/17,0.5,6252.125,175,259,99.0,193,0,0,0,0.9075,1,3,11632,38385,0,0,0,0,50017,38385,0.75,0.25,0.23255628,0.767423727,0,2
2926,21246,2008/5/7,2008/9/2,女,4,广州,广东,CN,40.0,2014/3/31,6,27912,0,0,10650.0,4200.0,73392,44402.16,2013/9/8,0.75,3489.0,96,206,85.8,178,0,0,3,0.605,4,2,18608,9304,0,0,0,0,27912,9304,0.333333333,0.666666667,0.666642783,0.333321391,3,2
2976,20213,2005/3/8,2010/6/8,女,4,广州,广东,CN,36.0,2014/3/31,20,47927,0,0,11227.0,40159.0,59094,44007.85,2013/10/19,2.5,5990.875,62,165,26.52631579,105,1600,0,1,0.744709277,11,9,11120,36807,0,1600,1600,0,49527,36807,0.45,0.55,0.232014689,0.767964447,3,2
3017,27014,2007/6/4,2007/7/13,女,4,深圳,广东,CN,51.0,2014/3/31,18,37080,0,0,15403.0,15963.0,53329,43683.99,2014/1/6,2.25,4635.0,29,86,36.23529412,162,0,0,0,0.8191413679999999,8,10,18737,18343,0,0,0,0,37080,18343,0.5555555560000001,0.444444444,0.50529921,0.49467382200000004,0,2
3137,18040,2006/6/27,2006/7/21,女,6,乌鲁木齐市,新疆,CN,46.0,2014/3/31,21,35225,0,0,16268.0,18770.0,56362,42872.3,2014/3/30,2.625,4403.125,1,2,36.4,132,0,0,1,0.7606596640000001,8,13,18233,16992,0,0,0,0,35225,16992,0.6190476189999999,0.380952381,0.5176006360000001,0.482370976,1,2
3188,56125,2004/12/28,2005/2/28,男,4,Beijing,北京,CN,51.0,2014/3/31,29,39902,0,0,33360.0,3829.0,43488,42588.41,2013/12/1,3.625,4987.75,23,122,20.92857143,175,800,0,5,0.9793140640000001,23,6,35067,4835,0,800,800,0,40702,4835,0.20689655199999998,0.793103448,0.878806105,0.121168834,6,2
3204,47236,2005/4/13,2005/4/15,男,4,,上海,CN,33.0,2014/3/31,19,45636,0,0,25982.0,12870.0,47553,42491.24,2013/10/13,2.375,5704.5,13,171,30.38888889,302,500,0,4,0.893555401,18,1,38137,7499,0,500,500,0,46136,7499,0.052631579000000005,0.947368421,0.8356596620000001,0.164318426,5,2
3226,11108,2005/3/30,2005/5/3,男,4,FREMONT,,US,57.0,2014/3/31,9,28652,0,0,17809.0,0.0,55729,42390.1,2012/10/14,1.125,3581.5,14,535,22.75,43,0,0,1,0.76064706,9,0,28652,0,0,0,0,0,28652,0,0.0,1.0,0.9999650999999999,0.0,1,2
3243,46463,2009/10/9,2009/10/9,女,4,SYDNEY,NSW,AU,47.0,2014/3/31,10,50028,0,0,28817.0,13995.0,47550,42278.82,2014/3/30,1.25,6253.5,14,2,79.44444444,347,0,0,1,0.889144479,5,5,31344,18684,0,0,0,0,50028,18684,0.5,0.5,0.62651662,0.37346339100000003,1,2
3279,11068,2005/3/8,2006/12/10,男,5,,,SG,57.0,2014/3/31,27,39832,0,0,37685.0,14513.0,40276,42111.98,2014/3/19,3.375,4979.0,4,13,27.46153846,196,0,0,0,1.0455849640000001,16,11,26872,12960,0,0,0,0,39832,12960,0.40740740700000005,0.592592593,0.674616524,0.32535837100000004,0,2
3282,18029,2006/6/1,2006/7/8,男,4,乌鲁木齐市,新疆,CN,54.0,2014/3/31,21,38928,0,0,19989.0,16005.0,48568,42108.93,2014/1/27,2.625,4866.0,26,65,32.0,123,0,1971,6,0.86700976,11,10,21022,17906,0,1971,1971,1971,40899,19877,0.47619047600000003,0.523809524,0.5400087339999999,0.459965578,7,2
3286,45757,2006/3/17,2006/3/17,男,4,佛山,广东,CN,37.0,2014/3/31,22,36873,0,0,13179.0,26970.0,49513,42085.21,2014/3/29,2.75,4609.125,23,3,33.57142857,151,0,500,1,0.849983035,12,10,11398,25475,0,500,500,500,37373,25975,0.454545455,0.545454545,0.309106688,0.690866193,3,2
3292,54694,2006/3/28,2006/4/2,男,5,南海,广东,CN,38.0,2014/3/31,24,36968,0,0,23022.0,13150.0,51057,42048.33,2013/10/4,3.0,4621.0,45,180,22.0,78,0,0,0,0.8235566129999999,15,9,25159,11809,0,0,0,0,36968,11809,0.375,0.625,0.680543158,0.319429793,0,2
3314,35925,2006/12/11,2007/7/30,女,4,乌鲁木齐市,新疆,CN,51.0,2014/3/31,25,36050,0,0,25010.0,8139.0,51077,41942.15,2013/10/5,3.125,4506.25,24,179,22.0,103,0,0,2,0.821155315,14,11,25471,10579,0,0,0,0,36050,10579,0.44,0.56,0.706526865,0.293445397,2,2
3372,8897,2007/4/23,2007/5/19,男,4,乌鲁木齐,新疆,CN,40.0,2014/3/31,15,35990,0,0,15453.0,15796.0,55453,41642.05,2014/2/3,1.875,4498.75,24,58,46.35714286,119,1500,0,6,0.7509431409999999,7,8,17339,18651,0,1500,1500,0,37490,18651,0.533333333,0.46666666700000003,0.48175932899999996,0.518212887,7,2
3378,54877,2006/8/17,2006/8/17,男,6,广州市,广东,CN,52.0,2014/3/31,28,40382,0,0,20351.0,18775.0,40971,41621.85,2014/2/4,3.5,5047.75,3,57,24.85185185,96,0,0,1,1.015885626,17,11,19337,21045,0,0,0,0,40382,21045,0.39285714299999996,0.607142857,0.478840106,0.521135131,1,2
3443,57059,2007/12/26,2007/12/26,女,4,乌鲁木齐,新疆,CN,42.0,2014/3/31,16,37945,0,0,12050.0,22919.0,45472,41237.42,2014/3/5,2.0,4743.125,247,27,30.46666667,103,0,0,1,0.906875,5,11,12320,25625,0,0,0,0,37945,25625,0.6875,0.3125,0.324671902,0.675301745,1,2
3452,55335,2007/10/9,2008/1/3,男,4,,,AU,47.0,2014/3/31,8,23992,0,0,2400.0,19450.0,60765,41163.56,2014/3/28,1.0,2999.0,163,4,80.57142857,217,0,0,1,0.6774222,1,7,2999,20993,0,0,0,0,23992,20993,0.875,0.125,0.12499479,0.8749635309999999,1,2
3515,2444,2007/7/30,2007/7/30,男,4,KUALA LUMPUR,,MY,53.0,2014/3/31,19,34436,0,0,22780.0,11252.0,53417,40797.46,2013/12/12,2.375,4304.5,19,111,33.38888889,120,0,2464,1,0.7637542359999999,11,8,23615,10821,0,2464,2464,2464,36900,13285,0.42105263200000004,0.578947368,0.6857449840000001,0.314225978,2,2
3596,37924,2007/5/1,2007/5/1,男,5,澳门,,MO,59.0,2014/3/31,25,35638,0,809,8742.0,27485.0,42559,40360.72,2013/12/13,3.125,4454.75,24,110,24.875,152,0,0,2,0.9483474709999999,7,18,9668,25970,809,0,809,809,36447,26779,0.72,0.28,0.27127584899999996,0.728696091,2,2
3609,20649,2007/6/29,2010/6/26,男,4,北京,北京,CN,33.0,2014/3/31,9,25950,0,0,11950.0,9480.0,59299,40296.17,2014/3/17,1.125,3243.75,209,15,63.375,199,0,1169,0,0.6795421509999999,4,5,17315,8635,0,1169,1169,1169,27119,9804,0.5555555560000001,0.444444444,0.66721899,0.332742476,1,2
3624,2259,2005/7/8,2005/7/8,男,4,ca,ca,CN,46.0,2014/3/31,5,30240,0,0,0.0,13100.0,61160,40243.28,2014/2/8,0.625,3780.0,431,53,61.75,168,0,0,0,0.6579999999999999,0,5,0,30240,0,0,0,0,30240,30240,1.0,0.0,0.0,0.999966932,0,2
3634,48121,2008/4/10,2008/4/10,男,4,SYDNEY,,AU,52.0,2014/3/31,15,26276,0,0,7548.0,14382.0,63680,40182.56,2014/3/18,1.875,3284.5,27,14,49.28571429,280,0,0,2,0.631007538,6,9,9365,16911,0,0,0,0,26276,16911,0.6,0.4,0.35639532700000004,0.6435666170000001,2,2
3647,9788,2006/7/26,2006/11/22,男,4,深圳,广东,CN,47.0,2014/3/31,21,34759,0,0,11106.0,16125.0,41481,40128.03,2014/1/31,2.625,4344.875,17,61,32.65,140,0,0,0,0.96738338,12,9,15106,19653,0,0,0,0,34759,19653,0.428571429,0.571428571,0.434579977,0.565391254,0,2
3653,62945,2007/11/27,2007/11/27,男,4,乌鲁木齐市,新疆,CN,42.0,2014/3/31,20,36968,0,0,14914.0,14916.0,51900,40099.27,2014/1/25,2.5,4621.0,18,67,34.0,334,1500,1971,1,0.772625626,7,13,19115,17853,0,3471,3471,1971,40439,19824,0.65,0.35,0.51705483,0.48291812100000003,3,2
3656,53725,2007/5/4,2007/5/4,男,4,沈阳,辽宁,CN,57.0,2014/3/31,26,31731,0,0,14053.0,13162.0,43933,40091.83,2014/2/28,3.25,3966.375,0,33,27.92,173,0,0,5,0.9125675459999999,18,8,18991,12740,0,0,0,0,31731,12740,0.307692308,0.692307692,0.598481029,0.40148745700000005,5,2
3661,47067,2004/11/27,2005/4/27,男,4,湛江市,广东省,CN,53.0,2014/3/31,4,47271,0,0,12500.0,20309.0,38663,40045.39,2014/1/30,0.5,5908.875,326,62,114.33333329999999,158,0,0,5,1.0357548559999998,1,3,15121,32150,0,0,0,0,47271,32150,0.75,0.25,0.319872229,0.6801066170000001,7,2
3676,29934,2007/12/14,2007/12/14,男,4,TEMPLE,,US,26.0,2014/3/31,8,29892,0,0,7614.0,8894.0,58987,39954.86,2013/9/18,1.0,3736.5,84,196,64.42857143,365,0,0,0,0.6773502640000001,4,4,10950,18942,0,0,0,0,29892,18942,0.5,0.5,0.36630649299999996,0.633660054,0,2
3692,2682,2007/9/16,2007/9/17,女,4,SYDNEY,NSW,AU,39.0,2014/3/31,19,25372,0,0,11082.0,11152.0,60296,39877.04,2013/11/8,2.375,3171.5,15,145,31.72222222,170,0,0,2,0.66135465,10,9,12008,13364,0,0,0,0,25372,13364,0.473684211,0.526315789,0.473258976,0.526701612,2,2
3700,46053,2006/12/21,2010/11/21,男,4,长沙,湖南,CN,39.0,2014/3/31,22,32791,0,0,11044.0,14038.0,51391,39830.03,2014/2/14,2.75,4098.875,82,47,28.66666667,156,0,0,0,0.775039015,10,12,17284,15507,0,0,0,0,32791,15507,0.545454545,0.454545455,0.527079776,0.472889729,0,2
3713,58244,2009/8/17,2010/7/31,女,4,SAN DIEGO,CALIFORNIA,US,56.0,2014/3/31,6,46274,0,0,6300.0,14337.0,53885,39776.18,2013/7/7,0.75,5784.25,183,269,55.8,187,0,0,1,0.73816795,2,4,15121,31153,0,0,0,0,46274,31153,0.666666667,0.333333333,0.326763911,0.6732144790000001,1,2
3749,54004,2006/2/19,2006/2/19,男,6,北京,北京,CN,58.0,2014/3/31,24,37099,0,0,19453.0,13788.0,41024,39609.59,2013/12/30,3.0,4637.375,42,93,25.91304348,164,0,0,1,0.965522377,14,10,20032,17067,0,0,0,0,37099,17067,0.41666666700000005,0.583333333,0.539946092,0.460026954,1,2
3770,47993,2008/4/5,2011/8/24,男,5,广州,广东,CN,51.0,2014/3/31,12,40037,0,0,1180.0,24068.0,44896,39506.45,2014/3/10,1.5,5004.625,311,22,36.18181818,83,0,0,0,0.879954784,2,10,896,39141,0,0,0,0,40037,39141,0.833333333,0.166666667,0.02237874,0.9775962840000001,0,2
3782,27618,2005/11/30,2005/12/30,男,5,北京,北京,CN,51.0,2014/3/31,24,33282,0,295,15868.0,17224.0,38980,39453.21,2014/3/22,3.0,4160.25,6,10,31.08695652,143,0,0,5,1.012139815,14,10,14788,18494,295,0,295,295,33577,18789,0.41666666700000005,0.583333333,0.444310909,0.555659045,5,2
3833,38145,2005/4/20,2005/4/20,男,5,南通,江苏,CN,41.0,2014/3/31,25,37846,0,1485,6345.0,27547.0,37274,39229.03,2014/3/16,3.125,4730.75,3,16,29.66666667,148,11646,1815,4,1.052450233,8,17,6790,31056,1485,13461,14946,3300,52792,34356,0.68,0.32,0.179406558,0.82056702,50,2
3846,9605,2006/4/6,2008/2/8,女,4,广州,广东,CN,39.0,2014/3/31,15,41892,0,0,11130.0,16273.0,42167,39157.25,2013/12/30,1.875,5236.5,20,93,44.14285714,247,800,0,0,0.9286230940000001,11,4,9651,32241,0,800,800,0,42692,32241,0.26666666699999997,0.7333333329999999,0.230372616,0.769603514,2,2
3862,3464,2008/8/2,2008/9/12,男,4,Fukuoka,,JP,36.0,2014/3/31,24,43234,0,0,34142.0,12548.0,49697,39081.4,2013/7/1,3.0,5404.25,94,275,15.73913043,93,0,0,0,0.786393545,18,6,33452,9782,0,0,0,0,43234,9782,0.25,0.75,0.7737249909999999,0.226251879,0,2
3864,17957,2007/9/9,2007/9/9,女,4,哈尔滨,黑龙江,CN,55.0,2014/3/31,24,35611,0,0,22304.0,9414.0,47349,39077.11,2014/3/6,3.0,4451.375,56,26,28.2173913,214,0,0,2,0.825299584,13,11,26424,9187,0,0,0,0,35611,9187,0.45833333299999995,0.541666667,0.74199708,0.25797484,2,2
3867,27058,2008/7/23,2008/7/29,男,4,乌鲁木齐,新疆,CN,59.0,2014/3/31,20,31691,0,0,22405.0,8994.0,52155,39050.91,2014/3/15,2.5,3961.375,41,17,35.42105263,248,888,0,0,0.748747196,13,7,21637,10054,0,888,888,0,32579,10054,0.35,0.65,0.682727502,0.31724094399999997,1,2
3878,45822,2006/7/13,2006/10/5,男,4,Singapore,Singapore,SG,55.0,2014/3/31,28,35812,0,0,31044.0,4259.0,44234,38979.53,2013/11/29,3.5,4476.5,15,124,21.92592593,97,0,0,0,0.881211964,24,4,31160,4652,0,0,0,0,35812,4652,0.14285714300000002,0.857142857,0.870075112,0.129896965,0,2
3892,28232,2007/6/12,2008/1/2,女,4,WEST COVINA,CA,US,50.0,2014/3/31,5,23260,0,0,7700.0,5400.0,61160,38897.76,2013/12/8,0.625,2907.5,31,115,146.25,227,0,0,0,0.636,3,2,13956,9304,0,0,0,0,23260,9304,0.4,0.6,0.5999742060000001,0.39998280399999997,0,2
3916,697,2006/5/22,2007/3/25,男,4,SUMMERVILLR,S.C,US,53.0,2014/3/31,4,32568,0,0,6400.0,7650.0,48928,38775.44,2013/8/28,0.5,4071.0,102,217,137.33333330000002,364,0,0,3,0.7925,2,2,9304,23264,0,0,0,0,32568,23264,0.5,0.5,0.285670423,0.714298873,3,2
3936,28027,2006/12/11,2007/10/30,男,5,东莞,广东,CN,43.0,2014/3/31,28,35912,0,975,9970.0,25402.0,38879,38668.2,2014/3/29,3.5,4489.0,2,3,26.88888889,113,0,0,0,0.99457805,12,16,10497,25415,975,0,975,975,36887,26390,0.571428571,0.428571429,0.2922897,0.707682455,0,2
3970,2284,2005/8/15,2005/10/6,女,4,广州,广东,CN,64.0,2014/3/31,11,21037,0,0,10161.0,5438.0,52081,38534.49,2014/1/17,1.375,2629.625,88,75,56.8,191,1500,0,0,0.739895355,4,7,14456,6581,0,1500,1500,0,22537,6581,0.636363636,0.363636364,0.6871375609999999,0.312814906,1,2
3982,56504,2007/11/23,2008/5/2,女,4,北京,北京,CN,40.0,2014/3/31,14,24058,0,0,22932.0,5300.0,49843,38493.9,2013/10/12,1.75,3007.25,34,172,40.38461538,124,0,0,0,0.7723030320000001,11,3,18851,5207,0,0,0,0,24058,5207,0.214285714,0.7857142859999999,0.78353215,0.216426285,0,2
4004,29855,2008/1/19,2008/2/8,女,4,广州,广东,CN,36.0,2014/3/31,4,32568,0,0,3200.0,10200.0,48928,38408.48,2014/1/2,0.5,4071.0,144,90,165.66666669999998,322,0,0,0,0.785,1,3,4652,27916,0,0,0,0,32568,27916,0.75,0.25,0.142835211,0.857134085,0,2
4011,47914,2008/2/26,2008/2/26,男,4,广州,广东,CN,41.0,2014/3/31,21,35647,0,4675,10366.0,17548.0,46394,38373.44,2013/11/9,2.625,4455.875,0,144,29.35,106,32815,8819,1,0.827120748,9,12,11272,24375,4675,41634,46309,13494,81956,37869,0.571428571,0.428571429,0.316202873,0.683769075,26,2
4029,30056,2008/3/12,2009/3/19,女,4,LA DUENTE,CA,US,64.0,2014/3/31,7,30640,0,0,10814.0,3000.0,62312,38264.8,2013/5/11,0.875,3830.0,11,326,65.66666667,196,0,0,0,0.614083965,6,1,25988,4652,0,0,0,0,30640,4652,0.14285714300000002,0.857142857,0.8481446429999999,0.151822721,0,2
4041,36891,2006/10/17,2008/6/13,男,4,广州,广东,CN,46.0,2014/3/31,25,37390,0,0,23758.0,8755.0,45276,38223.05,2014/1/26,3.125,4673.75,11,66,27.25,247,0,0,6,0.844223209,18,7,27679,9711,0,0,0,0,37390,9711,0.28,0.72,0.7402583509999999,0.259714905,6,2
4057,30329,2008/8/18,2009/3/13,男,4,深圳,广东,CN,43.0,2014/3/31,17,38334,0,0,13717.0,10605.0,48921,38162.97,2014/2/11,2.125,4791.75,161,50,32.5,127,0,0,1,0.780093825,9,8,28729,9605,0,0,0,0,38334,9605,0.470588235,0.529411765,0.74941959,0.250554324,1,2
4060,11281,2005/8/14,2005/11/21,男,4,深圳,广东,CN,55.0,2014/3/31,26,30150,0,0,22598.0,10436.0,47213,38116.8,2014/2/22,3.25,3768.75,2,39,27.6,75,0,0,0,0.807336962,15,11,21186,8964,0,0,0,0,30150,8964,0.423076923,0.576923077,0.7026632620000001,0.297303572,0,2
4076,29432,2008/3/2,2008/3/2,男,4,GEORGETOWN,PENANG,MY,39.0,2014/3/31,17,36919,0,0,20633.0,9740.0,47481,38040.66,2014/1/15,2.125,4614.875,27,77,39.1875,99,0,0,3,0.8011764709999999,11,6,25261,11658,0,0,0,0,36919,11658,0.352941176,0.647058824,0.684209101,0.315763814,3,2
