,MemberNo,Gender,Age,WorkCity,FFPdate,Category
129,8850,男,51.0,乌鲁木齐,2006/4/17,4
130,59307,男,34.0,广州,2011/3/15,4
131,20121,男,66.0,汕头市,2004/11/30,4
132,53451,男,50.0,乌鲁木齐,2012/6/26,4
133,59669,男,62.0,东莞,2012/4/11,4
134,49369,男,63.0,东莞,2009/10/19,4
135,52814,男,44.0,大连,2010/10/9,4
136,57377,男,50.0,.,2008/6/20,4
137,31219,男,42.0,上海,2009/11/13,4
138,29392,男,33.0,东莞,2013/3/3,4
139,12578,女,47.0,广州,2006/6/29,4
140,19439,男,51.0,.,2008/4/1,4
141,29034,男,47.0,广州,2004/11/24,4
142,2012,男,51.0,深圳市,2004/11/26,4
143,47194,男,53.0,,2005/4/2,4
144,26406,男,56.0,乌鲁木齐,2009/8/27,4
145,56437,男,56.0,广州,2005/11/16,4
146,59509,男,39.0,沈阳,2012/5/2,4
147,13061,男,52.0,广州,2009/3/29,4
148,12155,男,31.0,广州,2009/6/4,4
149,26960,男,47.0,乌鲁木齐,2006/4/15,4
150,1123,男,51.0,AMSTELVEEN,2007/5/8,4
151,12536,男,78.0,Escondido,2010/5/27,4
152,43627,男,43.0,北京,2009/12/27,4
153,37021,男,51.0,香港,2006/12/25,4
154,40792,女,28.0,广州市天河区,2010/8/8,4
155,22418,男,37.0,PARIS,2010/8/6,4
156,27900,男,49.0,广州,2006/9/15,4
157,21245,男,46.0,上海,2008/5/5,4
158,2006,男,45.0,广州,2004/11/24,4
159,11028,男,38.0,广州,2005/1/22,4
160,62642,男,61.0,长春,2007/2/7,4
161,29051,女,46.0,广州,2004/12/7,4
162,19073,男,39.0,广州,2006/11/9,4
163,58686,男,32.0,北京,2011/1/19,4
164,781,男,49.0,湛江,2006/7/23,4
165,36780,男,48.0,广州,2006/7/10,4
166,1359,男,45.0,广州,2010/1/13,4
167,29076,男,56.0,广州,2005/1/19,4
168,49714,女,49.0,COVINA,2011/3/30,4
169,55458,男,30.0,广州,2010/2/12,4
170,59905,男,41.0,广州,2011/9/13,4
171,28087,男,64.0,番禺,2007/2/10,4
172,14825,男,45.0,长沙,2011/9/21,4
173,20173,女,53.0,广州,2005/1/23,4
174,18700,男,43.0,广州,2006/1/15,4
175,47040,男,56.0,,2013/3/16,4
176,5040,男,36.0,广州,2011/2/25,4
177,19751,女,33.0,CULVER CITY,2011/5/12,4
178,9980,男,47.0,广州,2006/12/6,4
179,38079,男,49.0,.,2005/3/2,4
180,38098,男,45.0,广州,2005/3/31,4
181,33282,男,51.0,.,2012/4/9,4
182,53999,男,50.0,乌鲁木齐市,2007/4/4,4
183,58806,男,35.0,PARIS,2010/8/8,4
184,18869,男,74.0,深圳,2006/6/20,4
185,47265,男,39.0,深圳,2005/5/27,4
186,29997,男,47.0,敦化,2008/2/18,4
187,56325,男,44.0,广州,2005/7/24,4
188,13606,男,40.0,MEXICO,2010/8/10,4
189,2104,男,47.0,广州,2005/3/20,4
190,40556,男,39.0,惠州,2010/2/13,4
191,11511,男,55.0,上海,2010/5/17,4
192,49752,男,51.0,PARIS,2010/9/18,4
193,58064,男,47.0,深圳,2009/11/1,4
194,19497,男,36.0,广州,2009/8/27,4
195,21578,女,49.0,广州,2008/9/2,4
196,45772,男,57.0,深圳,2006/6/5,4
197,51134,男,54.0,PARIS,2011/12/18,4
198,53729,男,47.0,长春,2008/4/20,4
199,44980,男,49.0,乌鲁木齐,2005/5/1,4
200,11139,男,46.0,广州,2005/4/27,4
201,11327,男,48.0,ROWLAND HEIGHTS,2005/10/12,4
202,20131,女,64.0,广州市,2004/11/23,4
203,47276,男,47.0,广州,2005/5/29,4
204,13323,男,63.0,武汉市,2009/11/13,4
205,56336,男,49.0,.,2005/8/2,4
206,19460,男,44.0,珠海,2008/12/13,4
207,15014,男,66.0,CORALGABLES,2012/1/4,4
208,21884,男,38.0,深圳,2009/5/8,4
209,11030,男,38.0,番禺,2005/1/20,4
210,10164,男,45.0,深圳,2007/5/27,4
211,2196,男,68.0,汕头,2005/5/20,4
212,38329,男,65.0,广州,2005/11/17,4
213,3092,男,60.0,广州,2008/2/26,4
214,31122,男,56.0,广州,2010/12/1,4
215,44276,女,40.0,哈尔滨,2009/8/1,4
216,38451,男,48.0,广州市,2007/6/4,4
217,30926,男,33.0,广州市,2009/3/14,4
218,36573,女,36.0,广州,2006/1/25,4
219,17463,男,27.0,和田,2011/1/4,4
220,20144,女,60.0,广州市,2004/12/24,4
221,20731,女,56.0,珠海,2007/9/17,4
222,2129,男,42.0,郑州市,2005/4/6,4
223,53365,女,34.0,乌鲁木齐,2010/12/17,4
224,3018,男,47.0,乌鲁木齐,2008/2/11,4
225,36912,男,55.0,广州,2006/11/1,4
226,1159,男,53.0,广州,2007/5/28,4
227,39380,男,32.0,广州,2008/7/21,4
228,12218,男,62.0,深圳,2009/3/3,4
229,38199,男,53.0,广州,2005/6/16,4
230,38134,女,40.0,深圳,2005/4/17,4
231,49346,男,44.0,广州,2010/4/28,4
232,46325,男,53.0,广州,2007/11/29,4
233,27661,男,44.0,广州市,2006/1/16,4
234,39773,女,30.0,Cerritos,2012/5/8,4
235,3321,男,39.0,.,2008/8/31,4
236,47224,男,36.0,广州市,2005/4/19,4
237,14675,男,47.0,.,2011/8/20,4
238,36635,男,55.0,深圳,2006/3/28,4
239,20685,男,56.0,郑州,2007/7/14,4
240,20116,男,37.0,广州,2004/11/20,4
241,27657,男,66.0,,2006/2/2,4
242,30225,女,38.0,广州,2008/6/1,4
243,39847,男,47.0,深圳,2010/3/10,4
244,19134,女,38.0,广州,2007/1/9,4
245,30983,男,41.0,PARIS,2012/10/17,4
246,53954,男,53.0,克拉玛依,2006/4/11,4
247,13680,男,38.0,PARIS,2011/2/22,4
248,56497,女,46.0,广州,2007/6/17,4
249,20401,女,41.0,广州,2005/9/9,4
250,23819,男,50.0,长春,2011/9/28,4
251,3110,男,37.0,.,2008/3/15,4
252,23531,男,35.0,广州,2011/5/30,4
253,27678,男,44.0,深圳,2006/3/2,4
254,4581,男,41.0,番禺,2010/7/25,4
255,3339,男,55.0,广州,2008/8/28,4
256,36953,男,40.0,广州,2006/12/7,4
257,44217,男,43.0,乌,2010/10/20,4
258,13818,男,54.0,广州,2010/4/25,4
259,8608,男,51.0,长春,2005/11/15,4
260,2303,男,50.0,广州,2005/8/30,4
261,33645,女,47.0,深圳,2012/7/20,4
262,27651,男,44.0,上海市,2006/1/24,4
263,9874,男,39.0,广州市,2006/10/26,4
264,50023,男,47.0,广州,2011/1/28,4
265,40219,男,45.0,广州,2009/7/9,4
266,35876,男,57.0,合肥,2006/4/2,4
267,58293,男,42.0,广州,2009/11/2,4
268,5737,男,46.0,北京,2011/7/25,4
269,39208,男,48.0,NEYAGAWA,2010/8/28,4
270,13798,男,46.0,贵阳,2011/6/1,4
271,58411,,61.0,MENAI,2009/12/12,4
272,13846,男,52.0,Ibaraki-shi,2011/8/28,4
273,27945,男,66.0,深圳,2006/10/13,4
274,54719,男,67.0,广州,2006/3/11,4
275,4234,男,37.0,广州,2009/8/7,4
276,13056,男,44.0,.,2010/5/22,4
277,38816,男,41.0,上海,2010/2/19,4
278,22490,男,35.0,广州,2009/12/9,4
279,47762,男,41.0,.,2007/9/28,4
280,30223,男,47.0,.,2008/10/12,4
281,35584,男,47.0,乌苏,2007/6/12,4
282,4835,男,63.0,ISEHARA,2012/8/22,4
283,38084,男,40.0,广州,2005/3/16,4
284,49017,男,42.0,北京市,2009/1/17,4
285,29375,男,44.0,广州,2005/11/17,4
286,46350,男,50.0,顺德,2008/8/12,4
287,58999,男,61.0,南沙,2010/11/10,4
288,1294,男,35.0,广州,2009/2/9,4
289,728,男,51.0,洛阳,2006/1/10,4
290,55509,男,49.0,广州,2010/6/9,4
291,49453,男,62.0,克拉玛依,2010/2/26,4
292,31394,女,40.0,广州市,2010/5/31,4
293,35877,男,44.0,长春,2006/3/31,4
294,59627,女,60.0,长春市,2012/3/17,4
295,23026,男,49.0,北京,2010/12/16,4
296,9716,男,39.0,广州,2006/6/29,4
297,21656,男,45.0,吉林市,2009/1/15,4
298,4004,男,48.0,.,2009/6/10,4
299,18838,男,41.0,广州,2006/5/4,4
300,35464,男,51.0,沈阳,2009/1/20,4
301,8434,男,43.0,大连,2005/9/9,4
302,4446,男,40.0,佛山,2010/2/23,4
303,54,男,49.0,广州,2010/2/23,4
304,49682,男,45.0,广州,2010/9/15,4
305,38902,男,40.0,汕头,2007/12/28,4
306,18679,女,41.0,东莞,2005/12/21,4
307,18811,男,53.0,广州,2006/4/6,4
308,42861,男,55.0,广州,2012/9/2,4
309,22286,男,44.0,广州,2009/12/5,4
310,23172,男,46.0,ADACHI-KU,2011/5/27,4
311,23537,男,38.0,大连,2011/10/17,4
312,12880,男,44.0,.,2009/12/15,4
313,28325,男,38.0,广州市,2008/7/22,4
314,857,男,45.0,佛山,2006/10/1,4
315,14124,男,57.0,FUJIEDA-SHI,2012/6/12,4
316,55273,男,38.0,广州,2007/4/3,4
317,26641,男,46.0,沈阳,2006/3/4,4
318,62340,男,47.0,鄯善县,2010/10/21,4
319,59295,男,48.0,MONTREUJL,2011/5/8,4
320,20660,男,48.0,广州,2007/6/11,4
321,55480,男,44.0,广州,2010/4/30,4
322,59920,男,41.0,贵阳,2011/9/18,4
323,1069,男,37.0,广州市,2007/2/10,4
324,54078,男,53.0,深圳,2007/6/21,4
325,40506,男,40.0,广州,2010/7/28,4
326,13936,男,46.0,KASAI,2011/5/11,4
327,35484,男,40.0,,2005/11/2,4
328,35960,男,48.0,乌鲁木齐,2008/2/26,4
329,12353,男,47.0,广州,2008/5/19,4
330,20117,男,43.0,深圳市,2004/11/23,4
331,26045,男,37.0,沈阳,2011/7/11,4
332,28722,男,55.0,,2012/4/18,4
333,5039,男,46.0,广州市,2011/1/19,4
334,23074,男,35.0,AKAIWA CITY,2011/12/5,4
335,47095,男,,东莞,2004/12/2,4
336,9901,男,46.0,中山,2006/12/6,4
337,28035,女,41.0,PASADAERA,2006/4/23,4
338,48251,男,35.0,NISHINOMIYA-CITY,2009/1/17,4
339,20119,男,37.0,广州市,2004/11/26,4
340,62776,男,45.0,广州,2006/4/3,4
341,9635,男,36.0,广州,2006/4/16,4
342,30360,男,36.0,.,2008/8/20,4
343,60904,男,54.0,上海,2012/8/28,4
344,15271,男,36.0,广州,2011/12/10,4
345,35677,男,51.0,延吉,2007/8/8,4
346,55032,男,66.0,深圳市,2006/11/8,4
347,8631,男,37.0,.,2007/5/29,4
348,44368,男,51.0,乌鲁木齐,2010/10/2,3
349,13156,男,45.0,Sittard,2010/6/25,4
350,17660,男,54.0,北京,2006/7/23,4
351,13485,男,46.0,北京,2009/12/12,4
352,12275,男,38.0,昌吉,2008/8/8,4
353,19306,男,37.0,广州市,2007/4/25,4
354,29309,男,62.0,深圳,2005/9/4,4
355,13084,男,43.0,广州,2009/6/17,4
356,24151,男,41.0,.,2011/11/10,4
357,33114,男,57.0,NISKAYUNA,2012/1/16,3
358,1816,男,61.0,pasadena,2012/10/12,4
359,45720,男,57.0,深圳,2006/5/18,4
360,21127,男,46.0,广州市,2008/2/24,4
361,27683,男,39.0,广州,2006/1/25,4
362,5902,女,48.0,南宁,2012/9/8,4
363,3012,男,47.0,廊坊,2008/2/14,4
364,30596,男,35.0,广州,2009/1/5,4
365,29277,男,52.0,广州,2005/8/11,4
366,13108,男,46.0,番禺,2011/4/3,4
367,61975,男,34.0,沈阳,2012/7/15,4
368,14993,男,38.0,杭州,2012/2/15,4
369,57696,女,48.0,广州,2009/7/1,4
370,54913,男,38.0,深圳,2006/9/18,4
371,8870,男,45.0,哈密市,2006/7/21,4
372,37041,男,36.0,广州市,2007/2/1,4
373,57507,男,42.0,广州,2009/12/26,4
374,56362,男,46.0,广州,2005/8/15,4
375,48257,男,51.0,广州,2006/4/14,4
376,48173,男,50.0,大连,2006/1/30,4
377,29181,男,42.0,郑州,2005/3/27,4
378,26942,男,34.0,乌鲁木齐市,2006/3/27,4
379,10967,男,48.0,广州市,2004/11/1,4
380,40676,女,42.0,重庆,2011/1/3,4
381,29224,男,53.0,Hong Kong,2005/6/22,4
382,38275,男,48.0,广州,2005/9/3,4
383,59483,男,47.0,LOS ANGELES,2011/7/1,4
384,1843,男,63.0,广州,2012/10/13,4
385,18817,男,42.0,广州,2006/4/28,4
386,6031,男,58.0,鲁山,2012/1/14,4
387,18830,男,45.0,广州,2006/5/5,4
388,38123,男,59.0,,2005/4/26,4
389,57758,男,55.0,郑州,2010/7/19,4
390,2427,男,60.0,深圳,2007/5/16,4
391,1231,男,46.0,广州,2007/10/17,4
392,45721,男,50.0,广州,2006/5/19,4
393,18013,女,52.0,乌鲁木齐,2006/4/13,4
394,53417,男,44.0,广州,2011/2/25,4
395,56776,女,48.0,广州,2007/10/30,4
396,47838,男,51.0,抚顺,2007/10/31,4
397,28345,男,41.0,桂林,2009/1/6,4
398,8576,男,39.0,沈阳,2007/11/16,4
399,2561,男,41.0,广州,2007/6/22,4
400,50183,男,43.0,广州市,2011/3/7,4
401,3003,男,43.0,VIC,2012/6/2,4
402,56144,男,45.0,广州,2005/2/8,4
403,22702,男,46.0,沈阳,2010/7/1,4
404,44761,女,50.0,沈阳市,2007/6/6,4
405,3210,男,35.0,广州市,2008/9/23,4
406,2110,男,41.0,北京,2005/3/16,4
407,20760,男,44.0,广州,2007/8/31,4
408,29081,男,47.0,广州,2005/1/28,4
409,49340,男,62.0,广州,2009/9/3,4
410,55325,男,69.0,.,2007/7/3,4
411,11000,男,37.0,广州,2004/12/2,4
412,40664,男,61.0,上海,2010/6/14,4
413,32414,男,58.0,Shimonikawa-gun,2011/9/1,4
414,55873,女,40.0,广州,2012/8/26,4
415,8851,男,52.0,乌鲁木齐市,2006/4/19,4
416,23223,男,53.0,青田县,2011/3/21,4
417,14870,男,45.0,上海市,2011/9/18,4
418,26803,男,52.0,沈阳,2008/3/21,4
419,29103,男,55.0,武汉,2005/2/26,4
420,13204,男,32.0,广州,2009/8/27,4
421,53801,男,46.0,北京,2005/9/9,4
422,17530,男,46.0,呼和浩特,2011/4/9,4
423,11110,男,41.0,广州,2005/4/9,4
424,2352,男,39.0,广州,2005/10/7,4
425,21650,男,57.0,广州,2008/8/28,4
426,8497,男,40.0,大连,2006/3/17,4
427,13067,男,47.0,.,2009/2/22,4
428,44923,男,41.0,乌鲁木齐市,2006/3/28,4
429,48328,男,50.0,EL MONTE,2008/9/23,4
430,6905,男,47.0,哈尔滨,2013/1/20,4
431,20962,男,37.0,息烽,2007/11/17,4
432,35328,男,52.0,.,2011/6/2,4
433,35276,男,40.0,库尔勒,2010/7/21,4
434,15247,男,40.0,北京,2012/12/7,4
435,26447,男,41.0,伊宁,2010/5/27,4
436,39736,男,55.0,CA,2008/10/20,4
437,47894,女,40.0,北京,2007/12/3,4
438,4868,女,53.0,长沙,2010/9/25,4
439,44090,男,54.0,中山,2011/11/25,4
440,24598,男,49.0,广州,2012/6/23,4
441,29324,男,38.0,广州,2005/9/8,4
442,25763,男,46.0,郑州,2010/11/10,4
443,56156,男,37.0,上海市,2005/2/28,4
444,28175,男,47.0,深圳,2007/4/17,4
445,13295,男,40.0,武汉市,2009/9/13,4
446,4175,男,49.0,深圳,2010/1/2,4
447,17306,男,70.0,哈尔滨,2009/8/26,4
448,22092,男,60.0,深圳,2009/7/15,4
449,19379,男,46.0,深圳,2007/6/12,4
450,25883,男,58.0,乌鲁木齐,2010/4/1,4
451,53513,男,50.0,沈阳,2005/9/20,4
452,56202,男,47.0,长沙,2005/4/6,4
453,8925,男,46.0,厦门,2008/3/13,4
454,56861,男,54.0,深圳,2008/1/10,4
455,3501,男,40.0,广州,2008/10/16,4
456,7660,男,54.0,深圳,2009/10/20,4
457,26796,男,57.0,长春,2008/3/3,4
458,59631,男,45.0,大庆,2011/8/6,4
459,55240,男,42.0,上海,2007/4/19,4
460,47657,男,53.0,武汉,2007/8/7,3
461,12656,女,33.0,广州,2008/11/8,4
462,34530,男,44.0,长春,2010/9/20,4
463,49855,女,44.0,广州,2010/10/14,4
464,56163,女,39.0,广州市,2005/3/5,4
465,30116,女,55.0,广州,2008/3/27,4
466,2015,男,39.0,,2004/11/12,4
467,37142,男,49.0,上海,2007/5/10,4
468,26580,男,50.0,大连,2009/3/8,4
469,10105,男,38.0,广州,2007/3/12,4
470,45796,男,41.0,广州,2006/5/24,4
471,30865,男,53.0,乌鲁木齐,2009/2/1,4
472,59678,女,28.0,.,2011/8/19,4
473,915,男,39.0,.,2006/11/10,4
474,30355,男,56.0,广州,2008/6/16,4
475,1260,男,55.0,广州,2008/3/1,4
476,29550,男,47.0,北京,2007/6/17,4
477,53079,男,47.0,乌鲁木齐,2012/9/15,4
478,57868,女,49.0,深圳,2009/7/20,4
479,62499,男,42.0,沈阳,2005/11/2,4
480,19538,男,39.0,广州,2007/9/17,4
481,3893,男,37.0,乌鲁木齐,2006/12/25,4
482,55820,男,47.0,上海,2012/6/26,4
483,33829,女,43.0,PARIS,2012/10/20,4
484,41140,男,56.0,东莞,2011/2/25,4
485,41700,男,48.0,,2012/4/18,4
486,55140,男,41.0,深圳,2007/2/26,4
487,21169,男,56.0,广州,2008/5/7,4
488,18371,男,37.0,珠海,2011/5/20,4
489,10111,男,53.0,广州,2007/3/12,4
490,22929,男,52.0,广州,2010/10/17,4
491,59441,男,45.0,aubervilliers,2011/7/2,4
492,12479,男,54.0,广州,2008/7/21,4
493,39109,男,60.0,盘锦,2008/6/1,4
494,29044,女,46.0,北京,2004/11/4,4
495,15284,男,43.0,MARSEILLE,2012/2/22,4
496,2047,女,34.0,北京,2005/1/4,4
497,2051,男,38.0,广州,2005/1/18,4
498,35700,男,59.0,长春,2006/10/25,4
499,53997,男,57.0,乌鲁木齐市,2007/3/14,4
500,56624,男,49.0,深圳,2007/7/1,3
501,29198,男,49.0,广州市,2005/6/1,4
502,9658,男,40.0,广州,2006/5/23,4
503,14574,男,31.0,广州,2011/7/3,4
504,60068,男,48.0,北京,2011/12/25,4
505,3881,男,33.0,广州,2010/3/25,4
506,27827,男,38.0,,2006/6/1,4
507,10329,男,42.0,VICTORIA,2009/12/20,4
508,999,男,38.0,CHINO,2007/1/14,4
509,2115,男,54.0,汕头,2005/3/17,4
510,47309,男,35.0,广州,2005/7/8,4
511,20305,男,57.0,广州,2005/5/23,4
512,62894,男,45.0,乌鲁木齐市,2006/6/5,4
513,40362,男,34.0,广州市,2009/11/11,4
514,29121,男,41.0,广州,2005/3/19,4
515,52991,男,46.0,.,2012/3/24,4
516,26669,男,47.0,长春,2005/12/22,4
517,44965,男,40.0,乌鲁木齐,2006/6/12,4
518,56097,男,47.0,广州市,2004/11/11,4
519,40749,男,35.0,广州市,2010/6/14,4
520,11607,男,47.0,.,2007/9/24,4
521,4317,男,48.0,广州,2009/9/8,4
522,19249,男,40.0,SYDNEY,2007/3/1,4
523,47093,男,41.0,广州市,2004/11/11,4
524,13888,男,54.0,.,2010/11/9,4
525,20402,男,40.0,广州,2005/8/28,4
526,5910,男,61.0,Toyama-shi,2012/11/11,4
527,30564,女,54.0,ROSEMEAD,2008/10/9,4
528,30096,男,50.0,乌鲁木齐,2006/3/30,4
529,20157,男,62.0,,2004/12/22,4
530,30771,男,38.0,广州市,2008/11/6,4
531,31028,女,32.0,乌鲁木齐,2009/4/18,4
532,31495,男,40.0,北京,2010/1/2,4
533,14282,男,34.0,株洲,2011/7/10,4
534,14969,男,51.0,YOKOSUKA-SHI,2012/4/1,4
535,9594,男,47.0,广州,2006/3/23,4
536,21740,男,46.0,.,2010/3/1,4
537,59729,男,35.0,北京,2012/4/1,4
538,46647,男,36.0,乌鲁木齐市,2011/9/13,4
539,57726,男,30.0,广州市,2008/9/20,4
540,11321,男,53.0,湛江,2005/9/23,4
541,59560,男,47.0,广州,2011/4/28,4
542,56492,男,49.0,昆明,2007/7/1,4
543,18022,男,50.0,北京,2006/5/9,4
544,11183,男,43.0,珠海,2005/5/29,4
545,11243,男,39.0,广州,2005/7/19,4
546,11191,男,37.0,广州,2005/6/12,4
547,55420,男,36.0,广州市,2009/7/31,4
548,61982,男,48.0,沈阳,2011/12/1,4
549,20557,男,34.0,南宁,2007/5/8,4
550,8692,男,42.0,大连,2005/12/18,4
551,37007,男,54.0,北京,2007/1/24,4
552,557,男,40.0,广州,2005/12/25,4
553,53184,男,47.0,广州,2010/3/7,4
554,23126,女,40.0,广州,2011/1/10,4
555,4672,男,54.0,,2010/8/19,4
556,50244,男,55.0,上海,2011/4/20,4
557,12524,男,61.0,,2009/9/5,4
558,9569,男,44.0,广州,2006/3/6,4
559,38541,男,43.0,,2006/3/28,4
560,45995,男,57.0,广州,2006/11/23,4
561,8525,女,43.0,上海,2006/7/31,4
562,9611,男,48.0,广州,2006/4/15,4
563,54785,男,35.0,广州,2006/6/5,4
564,5903,男,45.0,广州,2012/2/20,4
565,15475,男,40.0,广州,2012/4/28,4
566,18844,男,40.0,北京市,2006/5/26,3
567,5167,男,48.0,NARA,2012/5/26,4
568,19179,男,39.0,广州,2007/1/15,4
569,15802,男,61.0,HENDERSOM,2012/7/27,4
570,40135,男,54.0,SYDNEY,2009/3/17,4
571,42700,男,48.0,昆明,2012/7/11,4
572,34525,女,34.0,广州市,2009/12/31,4
573,57559,男,53.0,广州,2008/9/2,4
574,16715,男,54.0,长春,2010/3/27,4
575,40365,男,56.0,,2009/10/24,4
576,43846,男,55.0,Goyang-si,2012/4/27,4
